code,name,slug,description,provider,category_id,denom,price_sell,price_buy,admin_fee,status,service_id,,
YSDB3,BULK 3GB + 1GB OMG 30hr,bulk-3gb-1gb-omg-30hr,,TELKOMSEL,6,0,46500,45500,0,1,1,,
YSDB3A,BULK 3GB + 1GB OMG 30hr [Alternatif],bulk-3gb-1gb-omg-30hr-[alternatif],,TELKOMSEL,6,0,57900,56900,0,1,1,,
YSDB3P,BULK 3GB + 1GB OMG 30hr [Promo],bulk-3gb-1gb-omg-30hr-[promo],,TELKOMSEL,6,0,41575,40575,0,1,1,,
YSDB50,BULK 50GB + 2GB OMG 30hr,bulk-50gb-2gb-omg-30hr,,TELKOMSEL,6,0,213900,212900,0,1,1,,
YSDB50A,BULK 50GB + 2GB OMG 30hr [Alternatif],bulk-50gb-2gb-omg-30hr-[alternatif],,TELKOMSEL,6,0,238900,237900,0,1,1,,
YSDB50P,BULK 50GB + 2GB OMG 30hr [Promo],bulk-50gb-2gb-omg-30hr-[promo],,TELKOMSEL,6,0,200500,199500,0,0,1,,
YSDB5,BULK 5GB + 2GB OMG 30hr,bulk-5gb-2gb-omg-30hr,,TELKOMSEL,6,0,70900,69900,0,1,1,,
YSDB5A,BULK 5GB + 2GB OMG 30hr [Alternatif],bulk-5gb-2gb-omg-30hr-[alternatif],,TELKOMSEL,6,0,89900,88900,0,1,1,,
YSDB5P,BULK 5GB + 2GB OMG 30hr [Promo],bulk-5gb-2gb-omg-30hr-[promo],,TELKOMSEL,6,0,66900,65900,0,1,1,,
YSDB8,BULK 8GB + 2GB OMG 30hr,bulk-8gb-2gb-omg-30hr,,TELKOMSEL,6,0,93900,92900,0,1,1,,
YSDB8A,BULK 8GB + 2GB OMG 30hr [Alternatif],bulk-8gb-2gb-omg-30hr-[alternatif],,TELKOMSEL,6,0,108900,107900,0,1,1,,
YSDB8P,BULK 8GB + 2GB OMG 30hr [Promo],bulk-8gb-2gb-omg-30hr-[promo],,TELKOMSEL,6,0,87975,86975,0,1,1,,
YSB1,BY.U 1000,by-u-1000,,TELKOMSEL,6,0,3795,2795,0,1,1,,
YSB10,BY.U 10000,by-u-10000,,TELKOMSEL,6,0,12595,11595,0,1,1,,
YSB100,BY.U 100000,by-u-100000,,TELKOMSEL,6,0,102475,101475,0,1,1,,
YSB15,BY.U 15000,by-u-15000,,TELKOMSEL,6,0,17495,16495,0,1,1,,
YSB20,BY.U 20000,by-u-20000,,TELKOMSEL,6,0,22395,21395,0,1,1,,
YSB25,BY.U 25000,by-u-25000,,TELKOMSEL,6,0,27395,26395,0,1,1,,
YSB30,BY.U 30000,by-u-30000,,TELKOMSEL,6,0,32345,31345,0,1,1,,
YSB40,BY.U 40000,by-u-40000,,TELKOMSEL,6,0,42345,41345,0,1,1,,
YSB5,BY.U 5000,by-u-5000,,TELKOMSEL,6,0,7795,6795,0,1,1,,
YSB50,BY.U 50000,by-u-50000,,TELKOMSEL,6,0,52395,51395,0,1,1,,
YSB60,BY.U 60000,by-u-60000,,TELKOMSEL,6,0,62345,61345,0,1,1,,
YSB70,BY.U 70000,by-u-70000,,TELKOMSEL,6,0,72445,71445,0,1,1,,
YSB80,BY.U 80000,by-u-80000,,TELKOMSEL,6,0,82745,81745,0,1,1,,
